2025-12-16 23:17:44 | VLMProcessor | INFO     |   Progress: 0.8% - pulling e9758e589d44
2025-12-16 23:17:44 | VLMProcessor | INFO     |   Progress: 0.8% - pulling e9758e589d44
2025-12-16 23:17:44 | VLMProcessor | INFO     |   Progress: 0.8% - pulling e9758e589d44
2025-12-16 23:17:44 | VLMProcessor | INFO     |   Progress: 0.9% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 0.9% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 0.9% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 0.9% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.0% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.0% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.0% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.0% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.0% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.0% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.0% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.1% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.1% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.1% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.1% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.1% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.2% - pulling e9758e589d44
2025-12-16 23:17:45 | VLMProcessor | INFO     |   Progress: 1.2% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.2% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.2% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.2% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.2% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.2% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.3% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.3% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.3% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.3% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.3% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.4% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.4% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.4% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.4% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.4% - pulling e9758e589d44
2025-12-16 23:17:46 | VLMProcessor | INFO     |   Progress: 1.5% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.5% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.5% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.5% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.5% - pulling e9758e589d44
